global_id,label_id,label_name,sheikh_id,sheikh_name,audio_num,original_file,new_file,original_path,new_path
001,001,Ikhfa,001,Yasser Aldosri,001,اخفاء ت_2_2.mp3,001_001_001_001.wav,/content/drive/MyDrive/DATASET/Motaz_Yasser/ikhfa/اخفاء ت_2_2.mp3,/content/dataset/001_001_001_001.wav
002,001,Ikhfa,001,Yasser Aldosri,002,اخفاء تنوين المدثر_1.m4a,001_001_002_002.wav,/content/drive/MyDrive/DATASET/Motaz_Yasser/ikhfa/اخفاء تنوين المدثر_1.m4a,/content/dataset/001_001_002_002.wav
003,001,Ikhfa,001,Yasser Aldosri,003,اخفاء ن ساكنة سورة القيامة.m4a,001_001_003_003.wav,/content/drive/MyDrive/DATASET/Motaz_Yasser/ikhfa/اخفاء ن ساكنة سورة القيامة.m4a,/content/dataset/001_001_003_003.wav
004,001,Ikhfa,001,Yasser Aldosri,004,اخفاء ن ساكنة سورة القيامة_1.m4a,001_001_004_004.wav,/content/drive/MyDrive/DATASET/Motaz_Yasser/ikhfa/اخفاء ن ساكنة سورة القيامة_1.m4a,/content/dataset/001_001_004_004.wav
005,001,Ikhfa,001,Yasser Aldosri,005,اخفاء ن ساكنة سورة المدثر .m4a,001_001_005_005.wav,/content/drive/MyDrive/DATASET/Motaz_Yasser/ikhfa/اخفاء ن ساكنة سورة المدثر .m4a,/content/dataset/001_001_005_005.wav
006,001,Ikhfa,001,Yasser Aldosri,006,اخفاء ن ساكنة سورة المدثر _1.m4a,001_001_006_006.wav,/content/drive/MyDrive/DATASET/Motaz_Yasser/ikhfa/اخفاء ن ساكنة سورة المدثر _1.m4a,/content/dataset/001_001_006_006.wav
007,001,Ikhfa,001,Yasser Aldosri,007,اخفاء ن ساكنة سورة المدثر _2.m4a,001_001_007_007.wav,/content/drive/MyDrive/DATASET/Motaz_Yasser/ikhfa/اخفاء ن ساكنة سورة المدثر _2.m4a,/content/dataset/001_001_007_007.wav
008,001,Ikhfa,001,Yasser Aldosri,008,اخفاء ن ساكنة سورة المدثر _3.m4a,001_001_008_008.wav,/content/drive/MyDrive/DATASET/Motaz_Yasser/ikhfa/اخفاء ن ساكنة سورة المدثر _3.m4a,/content/dataset/001_001_008_008.wav
009,001,Ikhfa,001,Yasser Aldosri,009,اخفاء ن ساكنة سورة المدثر _4.m4a,001_001_009_009.wav,/content/drive/MyDrive/DATASET/Motaz_Yasser/ikhfa/اخفاء ن ساكنة سورة المدثر _4.m4a,/content/dataset/001_001_009_009.wav
010,001,Ikhfa,001,Yasser Aldosri,010,اخفاء ن ساكنةسورة الانسان .m4a,001_001_010_010.wav,/content/drive/MyDrive/DATASET/Motaz_Yasser/ikhfa/اخفاء ن ساكنةسورة الانسان .m4a,/content/dataset/001_001_010_010.wav
011,001,Ikhfa,001,Yasser Aldosri,011,اخفاء ن ساكنةسورة الانسان _1.m4a,001_001_011_011.wav,/content/drive/MyDrive/DATASET/Motaz_Yasser/ikhfa/اخفاء ن ساكنةسورة الانسان _1.m4a,/content/dataset/001_001_011_011.wav
012,001,Ikhfa,001,Yasser Aldosri,012,اخفاء ن ساكنةسورة القيامة.m4a,001_001_012_012.wav,/content/drive/MyDrive/DATASET/Motaz_Yasser/ikhfa/اخفاء ن ساكنةسورة القيامة.m4a,/content/dataset/001_001_012_012.wav
013,001,Ikhfa,001,Yasser Aldosri,013,اخفاء ن ساكنةسورة القيامة_1.m4a,001_001_013_013.wav,/content/drive/MyDrive/DATASET/Motaz_Yasser/ikhfa/اخفاء ن ساكنةسورة القيامة_1.m4a,/content/dataset/001_001_013_013.wav
014,001,Ikhfa,001,Yasser Aldosri,014,اخفاء ن ساكنةسورة المدثر __1.m4a,001_001_014_014.wav,/content/drive/MyDrive/DATASET/Motaz_Yasser/ikhfa/اخفاء ن ساكنةسورة المدثر __1.m4a,/content/dataset/001_001_014_014.wav
015,001,Ikhfa,001,Yasser Aldosri,015,اخفاء ن سورة المدثر .m4a,001_001_015_015.wav,/content/drive/MyDrive/DATASET/Motaz_Yasser/ikhfa/اخفاء ن سورة المدثر .m4a,/content/dataset/001_001_015_015.wav
016,001,Ikhfa,001,Yasser Aldosri,016,اخفاء ن.mp3,001_001_016_016.wav,/content/drive/MyDrive/DATASET/Motaz_Yasser/ikhfa/اخفاء ن.mp3,/content/dataset/001_001_016_016.wav
017,001,Ikhfa,001,Yasser Aldosri,017,اخفاء نون ساكنة المدثر.m4a,001_001_017_017.wav,/content/drive/MyDrive/DATASET/Motaz_Yasser/ikhfa/اخفاء نون ساكنة المدثر.m4a,/content/dataset/001_001_017_017.wav
018,001,Ikhfa,001,Yasser Aldosri,018,اخفاء.mp3,001_001_018_018.wav,/content/drive/MyDrive/DATASET/Motaz_Yasser/ikhfa/اخفاء.mp3,/content/dataset/001_001_018_018.wav
019,001,Ikhfa,001,Yasser Aldosri,019,اخفاء2.mp3,001_001_019_019.wav,/content/drive/MyDrive/DATASET/Motaz_Yasser/ikhfa/اخفاء2.mp3,/content/dataset/001_001_019_019.wav
020,001,Ikhfa,001,Yasser Aldosri,020,اخفاء_1.mp3,001_001_020_020.wav,/content/drive/MyDrive/DATASET/Motaz_Yasser/ikhfa/اخفاء_1.mp3,/content/dataset/001_001_020_020.wav
021,001,Ikhfa,001,Yasser Aldosri,021,اخفاء_2.mp3,001_001_021_021.wav,/content/drive/MyDrive/DATASET/Motaz_Yasser/ikhfa/اخفاء_2.mp3,/content/dataset/001_001_021_021.wav
022,001,Ikhfa,001,Yasser Aldosri,022,اخفاء_2_1.mp3,001_001_022_022.wav,/content/drive/MyDrive/DATASET/Motaz_Yasser/ikhfa/اخفاء_2_1.mp3,/content/dataset/001_001_022_022.wav
023,001,Ikhfa,001,Yasser Aldosri,023,اخفاء_2_2.mp3,001_001_023_023.wav,/content/drive/MyDrive/DATASET/Motaz_Yasser/ikhfa/اخفاء_2_2.mp3,/content/dataset/001_001_023_023.wav
024,001,Ikhfa,001,Yasser Aldosri,024,اخفاء_2_3.mp3,001_001_024_024.wav,/content/drive/MyDrive/DATASET/Motaz_Yasser/ikhfa/اخفاء_2_3.mp3,/content/dataset/001_001_024_024.wav
025,001,Ikhfa,001,Yasser Aldosri,025,اخفاء_2_4.mp3,001_001_025_025.wav,/content/drive/MyDrive/DATASET/Motaz_Yasser/ikhfa/اخفاء_2_4.mp3,/content/dataset/001_001_025_025.wav
026,001,Ikhfa,001,Yasser Aldosri,026,اخفاء_2_5.mp3,001_001_026_026.wav,/content/drive/MyDrive/DATASET/Motaz_Yasser/ikhfa/اخفاء_2_5.mp3,/content/dataset/001_001_026_026.wav
027,001,Ikhfa,001,Yasser Aldosri,027,اخفاء_2_6.mp3,001_001_027_027.wav,/content/drive/MyDrive/DATASET/Motaz_Yasser/ikhfa/اخفاء_2_6.mp3,/content/dataset/001_001_027_027.wav
028,001,Ikhfa,001,Yasser Aldosri,028,اخفاء_2_7.mp3,001_001_028_028.wav,/content/drive/MyDrive/DATASET/Motaz_Yasser/ikhfa/اخفاء_2_7.mp3,/content/dataset/001_001_028_028.wav
029,001,Ikhfa,001,Yasser Aldosri,029,اخفاء_ت_8.mp3,001_001_029_029.wav,/content/drive/MyDrive/DATASET/Motaz_Yasser/ikhfa/اخفاء_ت_8.mp3,/content/dataset/001_001_029_029.wav
030,001,Ikhfa,001,Yasser Aldosri,030,اخفاء_ن.mp3,001_001_030_030.wav,/content/drive/MyDrive/DATASET/Motaz_Yasser/ikhfa/اخفاء_ن.mp3,/content/dataset/001_001_030_030.wav
031,001,Ikhfa,001,Yasser Aldosri,031,اخفاء_ن_1.mp3,001_001_031_031.wav,/content/drive/MyDrive/DATASET/Motaz_Yasser/ikhfa/اخفاء_ن_1.mp3,/content/dataset/001_001_031_031.wav
032,001,Ikhfa,001,Yasser Aldosri,032,اخفاء_ن_8.mp3,001_001_032_032.wav,/content/drive/MyDrive/DATASET/Motaz_Yasser/ikhfa/اخفاء_ن_8.mp3,/content/dataset/001_001_032_032.wav
033,001,Ikhfa,001,Yasser Aldosri,033,اخفاء_ن_8_1.mp3,001_001_033_033.wav,/content/drive/MyDrive/DATASET/Motaz_Yasser/ikhfa/اخفاء_ن_8_1.mp3,/content/dataset/001_001_033_033.wav
034,001,Ikhfa,001,Yasser Aldosri,034,اخفاء_ن_8_2.mp3,001_001_034_034.wav,/content/drive/MyDrive/DATASET/Motaz_Yasser/ikhfa/اخفاء_ن_8_2.mp3,/content/dataset/001_001_034_034.wav
035,001,Ikhfa,001,Yasser Aldosri,035,خ  سورة الانسان.m4a,001_001_035_035.wav,/content/drive/MyDrive/DATASET/Motaz_Yasser/ikhfa/خ  سورة الانسان.m4a,/content/dataset/001_001_035_035.wav
036,001,Ikhfa,001,Yasser Aldosri,036,خ الشيخ ياسر الدوسري سورة الإنسان(M4A_128K)_1_1.m4a,001_001_036_036.wav,/content/drive/MyDrive/DATASET/Motaz_Yasser/ikhfa/خ الشيخ ياسر الدوسري سورة الإنسان(M4A_128K)_1_1.m4a,/content/dataset/001_001_036_036.wav
